
"Number of searchable structures per year."
"Note: searchable structures vary over time as some become obsolete and are removed from the database."
"Year","Yearly","Total"
"2016","2192.0","104486.0"
"2015","8673.0","102294.0"
"2014","8874.0","93621.0"
"2013","8738.0","84747.0"
"2012","8175.0","76009.0"
"2011","7367.0","67834.0"
"2010","7186.0","60467.0"
"2009","6671.0","53281.0"
"2008","6205.0","46610.0"
"2007","6153.0","40405.0"
"2006","5520.0","34252.0"
"2005","4437.0","28732.0"
"2004","4397.0","24295.0"
"2003","3592.0","19898.0"
"2002","2530.0","16306.0"
"2001","2387.0","13776.0"
"2000","2234.0","11389.0"
"1999","1960.0","9155.0"
"1998","1724.0","7195.0"
"1997","1234.0","5471.0"
"1996","981.0","4237.0"
"1995","748.0","3256.0"
"1994","1057.0","2508.0"
"1993","622.0","1451.0"
"1992","181.0","829.0"
"1991","162.0","648.0"
"1990","135.0","486.0"
"1989","71.0","351.0"
"1988","52.0","280.0"
"1987","25.0","228.0"
"1986","17.0","203.0"
"1985","20.0","186.0"
"1984","22.0","166.0"
"1983","36.0","144.0"
"1982","32.0","108.0"
"1981","16.0","76.0"
"1980","7.0","60.0"
"1979","11.0","53.0"
"1978","6.0","42.0"
"1977","23.0","36.0"
"1976","13.0","13.0"
"1975","0.0","0.0"
"1974","0.0","0.0"
"1973","0.0","0.0"
"1972","0.0","0.0"
